"id","numSituation","numSituationGroup","name"
91,59,7,"Pelle hydraulique utilisée comme engin de levage / Tuyau"
92,60,7,"Pied de biche"
93,61,7,"Pelle hydraulique"
94,62,7,"Pelle hydraulique utilisée comme engin de levage / Carotteuse"
95,63,7,"Carotteuse thermique"
96,64,7,"Pelle utilisée comme engin de levage / Elément préfabriqué"
97,65,7,"Pied de biche / Lève tampon"
98,66,7,"Personnel à pied"
99,67,8,"Voir Généralités"
100,68,8,"Voir Généralités"
101,69,8," Marteau, pince, pelle manuelle, barre à mine, etc."
102,70,8,"Voir Généralités"
103,71,8,"Voir Généralités"
104,72,8,"Voir Généralités"
105,73,8,"Voir Généralités"
